Order Date,Order ID,Title,Category,ASIN/ISBN,UNSPSC Code,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Payment Instrument Type,Purchase Order Number,PO Line Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Buyer Name,Currency,Group Name
12/31/17,114-6538430-6195405,"Mesh Stuff Bag - 15"" x 22"" - Durable Mesh Bag with Sliding Drawstring Cord Lock Closure. Great for Washing Delicates, Rinsing Beach Toys, Seashell Col",Kitchen,B016WVVU3Q,24111500,Amazon.com,,new,Handy Laundry Products Corp.,,$0.00,$4.99,2,Visa - 1111,,,john@exampe.com,01/08/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA672749177000),$9.98,$0.00,$9.98,,,,John Randall,USD,
12/31/17,114-6538430-6195405,"Mesh Stuff Bag - 15"" x 22"" - Durable Mesh Bag with Sliding Drawstring Cord Lock Closure. Great for Washing Delicates, Rinsing Beach Toys, Seashell Col",Kitchen,B016WVVW7K,24111500,Amazon.com,,new,Handy Laundry Products Corp.,,$0.00,$4.99,1,Visa - 1111,,,john@exampe.com,01/09/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,AMZN_US(TBA674227509000),$4.99,$0.00,$4.99,,,,John Randall,USD,
12/31/17,114-6538430-6195405,"Mesh Stuff Bag - 15"" x 22"" - Durable Mesh Bag with Sliding Drawstring Cord Lock Closure. Great for Washing Delicates, Rinsing Beach Toys, Seashell Col",Kitchen,B016WVW3SW,24111500,Amazon.com,,new,Handy Laundry Products Corp.,,$0.00,$4.99,1,Visa - 1111,,,john@exampe.com,01/09/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,UPS(1Z933E6V0326802633),$4.99,$0.00,$4.99,,,,John Randall,USD,
12/31/17,114-6538430-6195405,"Mesh Stuff Bag - 15"" x 22"" - Durable Mesh Bag with Sliding Drawstring Cord Lock Closure. Great for Washing Delicates, Rinsing Beach Toys, Seashell Col",Kitchen,B016WVW60C,,Amazon.com,,new,Handy Laundry Products Corp.,,$0.00,$5.05,2,Visa - 1111,,,john@exampe.com,01/09/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,UPS(1Z933E6V0326802633),$10.10,$0.00,$10.10,,,,John Randall,USD,
01/06/18,114-0917934-1966639,Large Metal Rolling Tube Toothpaste Squeezer Wringer & Mini Metal Color Key Dye Tube Wringer Roller Kit,Misc.,B00V1RLRWQ,,Amazon.com,,new,Perfe Hair,,$23.99,$9.99,1,Bank Account - 222,,,john@exampe.com,01/07/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,USPS(9374889697090107128451),$9.99,$0.00,$9.99,,,,John Randall,USD,
01/06/18,114-0917934-1966639,Kids Mitten and Glove Clips (2 Pack) (Black),Apparel,B0787GQS1C,,Amazon.com,,new,The Source Group,,$0.00,$9.95,2,Bank Account - 222,,,john@exampe.com,01/08/18,John Randall,STREE ADDRESS 1,,MYTOWN,MYSTATE,ZIP1,Shipped,UPS(1ZA17A560205586490),$19.90,$0.00,$19.90,,,,John Randall,USD,
01/06/18,114-5129067-3309805,"Frost King Exhaust Fan Cover, 10-1/4"" Diameter For 8"" Fan",Tools & Home Improvement,B000LNW1EO,40170000,Amazon.com,,new,Amazon.com,,$8.07,$8.07,0,Bank Account - 222,,,john@exampe.com,,Other Person1 / John Randall,STREE ADDRESS 2,,MYTOWN,MYSTATE,ZIP2,,,$0.00,$0.00,$0.00,,,,John Randall,USD,
01/06/18,114-5129067-3309805,"NuTone S97011919AMZ Bathroom Fan Cover, White",Tools & Home Improvement,B00M1YI1L8,40101604,Amazon.com,,new,Amazon.com,,$21.96,$21.96,1,Bank Account - 222,,,john@exampe.com,01/09/18,Other Person1 / John Randall,STREE ADDRESS 2,,MYTOWN,MYSTATE,ZIP2,Shipped,AMZN_US(TBA673650217000),$21.96,$1.45,$23.41,,,,John Randall,USD,
01/06/18,114-4579101-1230633,Camco 45191 RV Reflective Vent Cover,Automotive,B0024E6QOO,40101604,Amazon.com,05/23/14,new,Amazon.com,,$6.99,$5.48,1,Visa - 3333,,,john@exampe.com,01/06/18,Other Person1 / John Randall,STREE ADDRESS 2,,MYTOWN,MYSTATE,ZIP2,Shipped,AMZN_US(TBA668490561000),$5.48,$0.36,$5.84,,,,John Randall,USD,
01/06/18,114-5545593-5938606,"Nautilus/broan Mfg. 99010042 Replacement Exhaust Fan Filter Aluminum 9-1/2""",Tools & Home Improvement,B000HM8G3O,40101604,Amazon.com,,new,Air Filter Factory,Registered Small Business,$13.19,$8.27,1,Visa - 3333,,,john@exampe.com,01/08/18,Other Person1 / John Randall,STREE ADDRESS 2,,MYTOWN,MYSTATE,ZIP2,Shipped,USPS(9405516901443348940094),$8.27,$0.00,$8.27,,,,John Randall,USD,
